Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
ECOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE,28007018011P9,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,BA,5,5,-,-,BIODIVERSIDADE
ECOLOGIA E CONSERVAÇÃO DE RECURSOS NATURAIS,32006012013P7,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,5,5,-,-,BIODIVERSIDADE
ECOLOGIA E EVOLUÇÃO,52001016026P6,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,7,7,-,-,BIODIVERSIDADE
ECOLOGIA E EVOLUÇÃO,31004016047P3,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,6,6,-,-,BIODIVERSIDADE
Ecologia e Evolução,33009015076P0,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,3,-,-,-,BIODIVERSIDADE
Ecologia e evolução,28002016011P7,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,BA,3,-,-,-,BIODIVERSIDADE
Ecologia e Evolução da Biodiversidade,42005019002P7,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUC/RS,RS,5,5,-,-,BIODIVERSIDADE
ECOLOGIA E MANEJO DE RECURSOS NATURAIS,11001011001P8,UNIVERSIDADE FEDERAL DO ACRE,UFAC,AC,3,-,-,-,BIODIVERSIDADE
Ecologia e Monitoramento Ambiental,24001040001P4,"UNIVERSIDADE FEDERAL DA PARAÍBA, RIO TINTO",UFPB-RT,PB,3,-,-,-,BIODIVERSIDADE
ECOLOGIA E RECURSOS NATURAIS,31033016014P7,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,RJ,6,6,-,-,BIODIVERSIDADE
ECOLOGIA E RECURSOS NATURAIS,33001014003P2,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,4,4,-,-,BIODIVERSIDADE
ECOLOGIA E RECURSOS NATURAIS,22001018058P0,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,4,4,-,-,BIODIVERSIDADE
"Ecologia: Teoria, Aplicação e Valores",28001010039P6,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,6,6,-,-,BIODIVERSIDADE
ENTOMOLOGIA,33002029018P1,"UNIVERSIDADE DE SÃO PAULO, RIBEIRÃO PRETO",USP-RP,SP,7,7,-,-,BIODIVERSIDADE
ENTOMOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE,51005018003P9,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,MS,4,4,-,-,BIODIVERSIDADE
ETNOBIOLOGIA E CONSERVAÇÃO DA NATUREZA,25003011033P9,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,5,5,-,-,BIODIVERSIDADE
Evolução e Diversidade,33144010017P0,UNIVERSIDADE FEDERAL DO ABC,UFABC,SP,4,4,-,-,BIODIVERSIDADE
"GENÉTICA, BIODIVERSIDADE E CONSERVAÇÃO",28006011009P8,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,BA,3,-,-,-,BIODIVERSIDADE
Genética e Biodiversidade,28001010084P1,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,3,-,-,-,BIODIVERSIDADE
OCEANOGRAFIA,25001019034P2,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,5,5,-,-,BIODIVERSIDADE
OCEANOGRAFIA BIOLÓGICA,42004012001P4,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,7,7,-,-,BIODIVERSIDADE
PERICIAS CRIMINAIS AMBIENTAIS,41001010085P5,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,-,-,3,-,BIODIVERSIDADE
Recursos Aquáticos e Pesca,20002017009P0,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,MA,3,-,-,-,BIODIVERSIDADE
SISTEMAS AQUÁTICOS TROPICAIS,28007018006P5,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,BA,3,-,-,-,BIODIVERSIDADE
SISTEMAS COSTEIROS E OCEÂNICOS,40001016054P6,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,5,5,-,-,BIODIVERSIDADE
SISTEMÁTICA E CONSERVAÇÃO DA DIVERSIDADE BIOLÓGICA,43028004001P0,SECRETARIA DO MEIO AMBIENTE E INFRAESTRUTURA,SEMA,RS,A,-,-,-,BIODIVERSIDADE
Sistemática e Evolução,23001011059P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,4,4,-,-,BIODIVERSIDADE
"Sistemática, Taxonomia Animal e Biodiversidade",33002010221P6,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,BIODIVERSIDADE
"SISTEMÁTICA, USO E CONSERVAÇÃO DA BIODIVERSIDADE (PPG-SIS)",22001018172P8,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,A,A,-,-,BIODIVERSIDADE
Sustentabilidade de Ecossistemas Costeiros e Marinhos,33087016002P9,UNIVERSIDADE SANTA CECÍLIA,UNISANTA,SP,3,-,-,-,BIODIVERSIDADE
ZOOLOGIA,40001016008P4,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,5,5,-,-,BIODIVERSIDADE
ZOOLOGIA,15001016022P6,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,5,5,-,-,BIODIVERSIDADE
ZOOLOGIA,12001015063P6,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,4,4,-,-,BIODIVERSIDADE
ZOOLOGIA,28007018004P2,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,BA,5,5,-,-,BIODIVERSIDADE
Zoologia,32001010089P1,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,5,5,-,-,BIODIVERSIDADE
Zoologia,53001010099P0,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,BIODIVERSIDADE
Zoologia,50001019039P5,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,3,-,-,-,BIODIVERSIDADE
